Input,Output
0,0
1309,9719325
587,12397044
-190,7409073
951,10352264
2000,20497329
951,20895815
-190,11299989
587,8154706
1309,11838276
0,6494798
-1309,-7252553
-587,-12404580
190,-8484860
-951,-11503220
-2000,-21245533
-951,-21220603
190,-11460315
-587,-8475434
-1309,-12541327
0,-7618632
1309,5845168
587,10951176
-190,7221356
951,10571668
2000,20730343
951,21079786
-190,11549542
587,8636842
1309,12630554
0,7477815
-1309,-6360358
-587,-11882728
190,-8484860
-951,-12025072
-2000,-22137728
-951,-22203620
190,-12252593
-587,-8957570
-1309,-12790880
0,-7802603
1309,5612154
587,10731772
-190,7409073
951,12017536
2000,24604500
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
0,-28698418
1309,-14885175
587,379508
-190,0
951,-379508
2000,14885175
951,28698418
-190,24090869
587,17112276
1309,24090869
0,28698418
-1309,14885175
-587,-379508
190,0
-951,379508
-2000,-14885175
-951,-28698418
190,-24090869
-587,-17112276
-1309,-24090869
